date,jumlahpenderita,predictions_JP
2021-08-10,23.0,27.606493
2021-08-11,8.0,26.750616
2021-08-12,35.0,26.350079
2021-08-13,25.0,27.677235
2021-08-14,13.0,27.19748
2021-08-15,2.0,26.810051
2021-08-16,45.0,26.206633
2021-08-17,6.0,28.044085
2021-08-18,40.0,25.914742
2021-08-19,45.0,27.771893
2021-08-20,37.0,27.841902
2021-08-21,13.0,27.835299
2021-08-22,6.0,27.065214
2021-08-23,48.0,26.73545
2021-08-24,44.0,28.640366
2021-08-25,39.0,28.32345
2021-08-26,31.0,28.623573
2021-08-27,31.0,28.454252
2021-08-28,21.0,28.535118
2021-08-29,3.0,28.124538
2021-08-30,64.0,27.204414
2021-08-31,41.0,29.940125
2021-09-01,25.0,28.573315
2021-09-02,57.0,28.285662
2021-09-03,33.0,29.994795
2021-09-04,22.0,28.820213
2021-09-05,1.0,28.515448
2021-09-06,54.0,27.246061
2021-09-07,49.0,29.571852
2021-09-08,32.0,28.947702
2021-09-09,60.0,28.478365
2021-09-10,40.0,30.115067
2021-09-11,18.0,29.150309
2021-09-12,4.0,28.394611
2021-09-13,53.0,27.53659
2021-09-14,39.0,29.726353
2021-09-15,43.0,28.65866
2021-09-16,45.0,29.235292
2021-09-17,46.0,29.349915
2021-09-18,20.0,29.695131
2021-09-19,1.0,28.576342
2021-09-20,71.0,27.550262
2021-09-21,54.0,30.972387
2021-09-22,51.0,29.95329
2021-09-23,54.0,30.479782
2021-09-24,41.0,31.138042
2021-09-25,20.0,30.948189
2021-09-26,5.0,30.132372
2021-09-27,74.0,29.227167
2021-09-28,44.0,32.8552
2021-09-29,36.0,31.237413
2021-09-30,83.0,31.275042
2021-10-01,53.0,34.30612
2021-10-02,22.0,33.316883
2021-10-03,6.0,32.34615
2021-10-04,75.0,31.524782
2021-10-05,45.0,35.50096
2021-10-06,55.0,34.12178
2021-10-07,51.0,35.2992
2021-10-08,28.0,35.499214
2021-10-09,36.0,34.666122
2021-10-10,10.0,35.279877
2021-10-11,61.0,33.63434
2021-10-12,56.0,36.82458
2021-10-13,42.0,36.943916
2021-10-14,61.0,36.363796
2021-10-15,50.0,37.93485
2021-10-16,31.0,37.659023
2021-10-17,9.0,36.851173
2021-10-18,79.0,35.34358
2021-10-19,64.0,39.847954
2021-10-20,13.0,39.77262
2021-10-21,78.0,36.426647
2021-10-22,47.0,40.47833
2021-10-23,39.0,38.629196
2021-10-24,7.0,38.53761
2021-10-25,83.0,36.440968
2021-10-26,57.0,41.476917
2021-10-27,44.0,40.619095
2021-10-28,79.0,39.74743
2021-10-29,58.0,42.40278
2021-10-30,19.0,41.847275
2021-11-01,93.0,39.33639
2021-11-02,58.0,44.477978
2021-11-03,52.0,43.30303
2021-11-04,74.0,44.35803
2021-11-05,47.0,45.958218
2021-11-06,42.0,44.900494
2021-11-07,3.0,44.973125
2021-11-08,87.0,42.23398
2021-11-09,75.0,47.836315
2021-11-10,52.0,47.474026
2021-11-11,84.0,47.028934
2021-11-12,57.0,49.499756
2021-11-13,25.0,48.186573
2021-11-14,7.0,46.3836
2021-11-15,84.0,44.655167
2021-11-16,75.0,49.36766
2021-11-17,122.0,49.038456
2021-11-18,150.0,53.238438
2021-11-19,113.0,56.21561
2021-11-20,119.0,55.64834
2021-11-21,7.0,57.571407
2021-11-22,172.0,50.903946
2021-11-23,117.0,61.51925
2021-11-24,75.0,59.04522
2021-11-25,122.0,57.21264
2021-11-26,88.0,60.313908
2021-11-27,66.0,58.4508
2021-11-28,11.0,56.965305
2021-11-29,102.0,52.65818
2021-11-30,136.0,57.640854
2021-12-01,61.0,59.514114
2021-12-02,58.0,55.20172
2021-12-03,97.0,54.719566
2021-12-04,33.0,56.735752
2021-12-05,15.0,52.217426
2021-12-06,77.0,50.213814
2021-12-07,66.0,53.429523
2021-12-08,66.0,52.20693
2021-12-09,55.0,52.160664
2021-12-10,49.0,51.264286
2021-12-11,41.0,50.61788
2021-12-12,14.0,49.740765
2021-12-13,91.0,47.379364
2021-12-14,59.0,52.21424
2021-12-15,74.0,50.004932
2021-12-16,68.0,51.352673
2021-12-17,78.0,51.12362
2021-12-18,28.0,52.078175
2021-12-19,5.0,48.799793
2021-12-20,67.0,46.8544
2021-12-21,73.0,50.46432
2021-12-22,80.0,50.676792
2021-12-23,85.0,51.44282
2021-12-24,63.0,52.168125
2021-12-25,20.0,51.119663
2021-12-26,4.0,48.171722
2021-12-27,67.0,46.421093
2021-12-28,56.0,49.945396
2021-12-29,74.0,48.99693
2021-12-30,56.0,50.227936
2021-12-31,40.0,48.83698
