date,jumlahpenderita,Predictions
2021-08-10,23.0,25.35688
2021-08-11,8.0,24.022558
2021-08-12,35.0,23.568977
2021-08-13,25.0,25.188156
2021-08-14,13.0,24.140724
2021-08-15,2.0,23.783968
2021-08-16,45.0,23.309893
2021-08-17,6.0,25.828001
2021-08-18,40.0,22.978909
2021-08-19,45.0,25.702774
2021-08-20,37.0,25.248953
2021-08-21,13.0,24.996923
2021-08-22,6.0,23.79957
2021-08-23,48.0,23.826502
2021-08-24,44.0,26.23419
2021-08-25,39.0,25.343107
2021-08-26,31.0,25.345531
2021-08-27,31.0,24.995083
2021-08-28,21.0,25.241385
2021-08-29,3.0,24.657742
2021-08-30,64.0,23.81168
2021-08-31,41.0,27.794329
2021-09-01,25.0,25.30289
2021-09-02,57.0,25.12458
2021-09-03,33.0,27.256012
2021-09-04,22.0,25.275143
2021-09-05,1.0,25.345032
2021-09-06,54.0,24.192343
2021-09-07,49.0,27.998331
2021-09-08,32.0,26.733334
2021-09-09,60.0,26.12514
2021-09-10,40.0,28.391941
2021-09-11,18.0,26.850056
2021-09-12,4.0,26.142012
2021-09-13,53.0,25.697365
2021-09-14,39.0,29.633356
2021-09-15,43.0,28.232218
2021-09-16,45.0,28.98092
2021-09-17,46.0,29.926369
2021-09-18,20.0,29.913174
2021-09-19,1.0,27.674442
2021-09-20,71.0,26.967299
2021-09-21,54.0,33.404602
2021-09-22,51.0,31.55936
2021-09-23,54.0,31.952017
2021-09-24,41.0,31.606735
2021-09-25,20.0,30.641218
2021-09-26,5.0,29.864544
2021-09-27,74.0,29.562637
2021-09-28,44.0,36.6924
2021-09-29,36.0,34.56128
2021-09-30,83.0,33.506363
2021-10-01,53.0,37.194035
2021-10-02,22.0,34.327053
2021-10-03,6.0,32.09823
2021-10-04,75.0,31.926994
2021-10-05,45.0,40.150574
2021-10-06,55.0,38.33415
2021-10-07,51.0,40.400337
2021-10-08,28.0,38.062252
2021-10-09,36.0,37.572567
2021-10-10,10.0,37.426044
2021-10-11,61.0,34.663277
2021-10-12,56.0,43.403496
2021-10-13,42.0,43.467728
2021-10-14,61.0,42.531708
2021-10-15,50.0,45.13076
2021-10-16,31.0,43.02428
2021-10-17,9.0,41.96026
2021-10-18,79.0,40.243656
2021-10-19,64.0,50.331623
2021-10-20,13.0,46.244884
2021-10-21,78.0,42.230812
2021-10-22,47.0,50.584946
2021-10-23,39.0,42.68791
2021-10-24,7.0,44.242172
2021-10-25,83.0,40.645428
2021-10-26,57.0,52.10103
2021-10-27,44.0,45.42555
2021-10-28,79.0,46.322063
2021-10-29,58.0,49.69835
2021-10-30,19.0,45.968357
2021-11-01,93.0,42.143852
2021-11-02,58.0,51.15293
2021-11-03,52.0,44.126244
2021-11-04,74.0,47.93232
2021-11-05,47.0,48.82398
2021-11-06,42.0,45.228363
2021-11-07,3.0,46.332294
2021-11-08,87.0,42.07267
2021-11-09,75.0,53.861362
2021-11-10,52.0,47.031567
2021-11-11,84.0,47.313282
2021-11-12,57.0,50.98969
2021-11-13,25.0,46.262936
2021-11-14,7.0,45.102604
2021-11-15,84.0,44.4012
2021-11-16,75.0,53.36323
2021-11-17,122.0,47.698757
2021-11-18,150.0,54.543125
2021-11-19,113.0,53.91594
2021-11-20,119.0,49.404404
2021-11-21,7.0,51.85068
2021-11-22,172.0,39.882183
2021-11-23,117.0,63.695107
2021-11-24,75.0,46.38209
2021-11-25,122.0,48.06474
2021-11-26,88.0,53.07809
2021-11-27,66.0,47.180466
2021-11-28,11.0,47.41296
2021-11-29,102.0,42.43622
2021-11-30,136.0,54.919037
2021-12-01,61.0,52.239357
2021-12-02,58.0,44.65558
2021-12-03,97.0,47.98477
2021-12-04,33.0,51.05217
2021-12-05,15.0,42.966568
2021-12-06,77.0,45.009026
2021-12-07,66.0,51.207653
2021-12-08,66.0,46.7745
2021-12-09,55.0,48.3448
2021-12-10,49.0,46.605
2021-12-11,41.0,46.82197
2021-12-12,14.0,46.11016
2021-12-13,91.0,43.908756
2021-12-14,59.0,53.30138
2021-12-15,74.0,45.170856
2021-12-16,68.0,49.88833
2021-12-17,78.0,47.234863
2021-12-18,28.0,49.279472
2021-12-19,5.0,43.36318
2021-12-20,67.0,44.10703
2021-12-21,73.0,50.9309
2021-12-22,80.0,47.98296
2021-12-23,85.0,49.48441
2021-12-24,63.0,49.210438
2021-12-25,20.0,46.881523
2021-12-26,4.0,43.8189
2021-12-27,67.0,44.315674
2021-12-28,56.0,51.277115
2021-12-29,74.0,46.440056
2021-12-30,56.0,50.082825
2021-12-31,40.0,46.639
