date,jumlahpenderita
1/1/2020,34
1/2/2020,86
1/3/2020,67
1/4/2020,42
1/5/2020,8
1/6/2020,93
1/7/2020,93
1/8/2020,81
1/9/2020,50
1/10/2020,70
1/11/2020,46
1/12/2020,9
1/13/2020,71
1/14/2020,65
1/15/2020,58
1/16/2020,66
1/17/2020,67
1/18/2020,28
1/19/2020,11
1/20/2020,69
1/21/2020,53
1/22/2020,41
1/23/2020,53
1/24/2020,38
1/25/2020,19
1/26/2020,4
1/27/2020,67
1/28/2020,71
1/29/2020,62
1/30/2020,69
1/31/2020,53
2/1/2020,41
2/2/2020,18
2/3/2020,79
2/4/2020,67
2/5/2020,56
2/6/2020,77
2/7/2020,54
2/8/2020,38
2/9/2020,13
2/10/2020,57
2/11/2020,86
2/12/2020,55
2/13/2020,58
2/14/2020,52
2/15/2020,29
2/16/2020,11
2/17/2020,71
2/18/2020,68
2/19/2020,40
2/20/2020,59
2/21/2020,46
2/22/2020,19
2/23/2020,4
2/24/2020,71
2/25/2020,67
2/26/2020,52
2/27/2020,55
2/28/2020,59
2/29/2020,19
3/1/2020,17
3/2/2020,68
3/3/2020,90
3/4/2020,60
3/5/2020,84
3/6/2020,67
3/7/2020,32
3/8/2020,14
3/9/2020,79
3/10/2020,69
3/11/2020,68
3/12/2020,73
3/13/2020,70
3/14/2020,25
3/15/2020,7
3/16/2020,85
3/17/2020,87
3/18/2020,66
3/19/2020,72
3/20/2020,63
3/21/2020,39
3/22/2020,11
3/23/2020,78
3/24/2020,49
3/25/2020,21
3/26/2020,54
3/27/2020,32
3/28/2020,36
3/29/2020,7
3/30/2020,51
3/31/2020,35
4/1/2020,40
4/2/2020,55
4/3/2020,40
4/4/2020,20
4/5/2020,1
4/6/2020,71
4/7/2020,46
4/8/2020,37
4/9/2020,49
4/10/2020,12
4/11/2020,30
4/12/2020,6
4/13/2020,43
4/14/2020,38
4/15/2020,34
4/16/2020,33
4/17/2020,31
4/18/2020,20
4/19/2020,0
4/20/2020,62
4/21/2020,29
4/22/2020,22
4/23/2020,22
4/24/2020,29
4/25/2020,11
4/26/2020,1
4/27/2020,54
4/28/2020,40
4/29/2020,19
4/30/2020,33
5/1/2020,13
5/2/2020,16
5/3/2020,7
5/4/2020,50
5/5/2020,53
5/6/2020,24
5/7/2020,10
5/8/2020,30
5/9/2020,11
5/10/2020,0
5/11/2020,46
5/12/2020,29
5/13/2020,35
5/14/2020,26
5/15/2020,18
5/16/2020,17
5/17/2020,2
5/18/2020,30
5/19/2020,39
5/20/2020,24
5/21/2020,4
5/22/2020,5
5/23/2020,7
5/24/2020,2
5/25/2020,4
5/26/2020,16
5/27/2020,17
5/28/2020,23
5/29/2020,13
5/30/2020,8
5/31/2020,3
6/1/2020,12
6/2/2020,47
6/3/2020,40
6/4/2020,34
6/5/2020,36
6/6/2020,24
6/7/2020,0
6/8/2020,72
6/9/2020,37
6/10/2020,45
6/11/2020,45
6/12/2020,36
6/13/2020,13
6/14/2020,8
6/15/2020,61
6/16/2020,42
6/17/2020,29
6/18/2020,37
6/19/2020,32
6/20/2020,19
6/21/2020,2
6/22/2020,53
6/23/2020,55
6/24/2020,30
6/25/2020,39
6/26/2020,40
6/27/2020,11
6/28/2020,2
6/29/2020,47
6/30/2020,44
7/1/2020,29
7/2/2020,42
7/3/2020,28
7/4/2020,20
7/5/2020,3
7/6/2020,61
7/7/2020,50
7/8/2020,24
7/9/2020,41
7/10/2020,44
7/11/2020,16
7/12/2020,3
7/13/2020,51
7/14/2020,48
7/15/2020,30
7/16/2020,18
7/17/2020,33
7/18/2020,12
7/19/2020,4
7/20/2020,32
7/21/2020,40
7/22/2020,35
7/23/2020,37
7/24/2020,36
7/25/2020,9
7/26/2020,5
7/27/2020,32
7/28/2020,34
7/29/2020,21
7/30/2020,21
7/31/2020,7
8/1/2020,22
8/2/2020,5
8/3/2020,41
8/4/2020,46
8/5/2020,39
8/6/2020,28
8/7/2020,27
8/8/2020,35
8/9/2020,4
8/10/2020,60
8/11/2020,28
8/12/2020,32
8/13/2020,41
8/14/2020,27
8/15/2020,24
8/16/2020,4
8/17/2020,6
8/18/2020,32
8/19/2020,32
8/20/2020,14
8/21/2020,20
8/22/2020,13
8/23/2020,4
8/24/2020,52
8/25/2020,35
8/26/2020,37
8/27/2020,54
8/28/2020,14
8/29/2020,14
8/30/2020,2
8/31/2020,29
9/1/2020,48
9/2/2020,28
9/3/2020,38
9/4/2020,31
9/5/2020,18
9/6/2020,1
9/7/2020,38
9/8/2020,40
9/9/2020,26
9/10/2020,21
9/11/2020,24
9/12/2020,10
9/13/2020,1
9/14/2020,55
9/15/2020,35
9/16/2020,22
9/17/2020,40
9/18/2020,18
9/19/2020,14
9/20/2020,4
9/21/2020,45
9/22/2020,45
9/23/2020,21
9/24/2020,50
9/25/2020,19
9/26/2020,16
9/27/2020,3
9/28/2020,35
9/29/2020,32
9/30/2020,30
10/1/2020,51
10/2/2020,15
10/3/2020,18
10/4/2020,0
10/5/2020,39
10/6/2020,28
10/7/2020,28
10/8/2020,34
10/9/2020,25
10/10/2020,21
10/11/2020,4
10/12/2020,59
10/13/2020,23
10/14/2020,22
10/15/2020,49
10/16/2020,24
10/17/2020,10
10/18/2020,1
10/19/2020,38
10/20/2020,30
10/21/2020,33
10/22/2020,30
10/23/2020,34
10/24/2020,19
10/25/2020,2
10/26/2020,54
10/27/2020,30
10/28/2020,21
10/29/2020,11
10/30/2020,6
10/31/2020,5
11/1/2020,2
11/2/2020,44
11/3/2020,44
11/4/2020,22
11/5/2020,39
11/6/2020,17
11/7/2020,15
