date,jumlahpenderita
2020-01-01,34.0
2020-01-02,86.0
2020-01-03,67.0
2020-01-04,42.0
2020-01-05,8.0
2020-01-06,93.0
2020-01-07,93.0
2020-01-08,81.0
2020-01-09,50.0
2020-01-10,70.0
2020-01-11,46.0
2020-01-12,9.0
2020-01-13,71.0
2020-01-14,65.0
2020-01-15,58.0
2020-01-16,66.0
2020-01-17,67.0
2020-01-18,28.0
2020-01-19,11.0
2020-01-20,69.0
2020-01-21,53.0
2020-01-22,41.0
2020-01-23,53.0
2020-01-24,38.0
2020-01-25,19.0
2020-01-26,4.0
2020-01-27,67.0
2020-01-28,71.0
2020-01-29,62.0
2020-01-30,69.0
2020-01-31,53.0
2020-02-01,41.0
2020-02-02,18.0
2020-02-03,79.0
2020-02-04,67.0
2020-02-05,56.0
2020-02-06,77.0
2020-02-07,54.0
2020-02-08,38.0
2020-02-09,13.0
2020-02-10,57.0
2020-02-11,86.0
2020-02-12,55.0
2020-02-13,58.0
2020-02-14,52.0
2020-02-15,29.0
2020-02-16,11.0
2020-02-17,71.0
2020-02-18,68.0
2020-02-19,40.0
2020-02-20,59.0
2020-02-21,46.0
2020-02-22,19.0
2020-02-23,4.0
2020-02-24,71.0
2020-02-25,67.0
2020-02-26,52.0
2020-02-27,55.0
2020-02-28,59.0
2020-02-29,19.0
2020-03-01,17.0
2020-03-02,68.0
2020-03-03,90.0
2020-03-04,60.0
2020-03-05,84.0
2020-03-06,67.0
2020-03-07,32.0
2020-03-08,14.0
2020-03-09,79.0
2020-03-10,69.0
2020-03-11,68.0
2020-03-12,73.0
2020-03-13,70.0
2020-03-14,25.0
2020-03-15,7.0
2020-03-16,85.0
2020-03-17,87.0
2020-03-18,66.0
2020-03-19,72.0
2020-03-20,63.0
2020-03-21,39.0
2020-03-22,11.0
2020-03-23,78.0
2020-03-24,49.0
2020-03-25,21.0
2020-03-26,54.0
2020-03-27,32.0
2020-03-28,36.0
2020-03-29,7.0
2020-03-30,51.0
2020-03-31,35.0
2020-04-01,40.0
2020-04-02,55.0
2020-04-03,40.0
2020-04-04,20.0
2020-04-05,1.0
2020-04-06,71.0
2020-04-07,46.0
2020-04-08,37.0
2020-04-09,49.0
2020-04-10,12.0
2020-04-11,30.0
2020-04-12,6.0
2020-04-13,43.0
2020-04-14,38.0
2020-04-15,34.0
2020-04-16,33.0
2020-04-17,31.0
2020-04-18,20.0
2020-04-20,62.0
2020-04-21,29.0
2020-04-22,22.0
2020-04-23,22.0
2020-04-24,29.0
2020-04-25,11.0
2020-04-26,1.0
2020-04-27,54.0
2020-04-28,40.0
2020-04-29,19.0
2020-04-30,33.0
2020-05-01,13.0
2020-05-02,16.0
2020-05-03,7.0
2020-05-04,50.0
2020-05-05,53.0
2020-05-06,24.0
2020-05-07,10.0
2020-05-08,30.0
2020-05-09,11.0
2020-05-11,46.0
2020-05-12,29.0
2020-05-13,35.0
2020-05-14,26.0
2020-05-15,18.0
2020-05-16,17.0
2020-05-17,2.0
2020-05-18,30.0
2020-05-19,39.0
2020-05-20,24.0
2020-05-21,4.0
2020-05-22,5.0
2020-05-23,7.0
2020-05-24,2.0
2020-05-25,4.0
2020-05-26,16.0
2020-05-27,17.0
2020-05-28,23.0
2020-05-29,13.0
2020-05-30,8.0
2020-05-31,3.0
2020-06-01,12.0
2020-06-02,47.0
2020-06-03,40.0
2020-06-04,34.0
2020-06-05,36.0
2020-06-06,24.0
2020-06-08,72.0
2020-06-09,37.0
2020-06-10,45.0
2020-06-11,45.0
2020-06-12,36.0
2020-06-13,13.0
2020-06-14,8.0
2020-06-15,61.0
2020-06-16,42.0
2020-06-17,29.0
2020-06-18,37.0
2020-06-19,32.0
2020-06-20,19.0
2020-06-21,2.0
2020-06-22,53.0
2020-06-23,55.0
2020-06-24,30.0
2020-06-25,39.0
2020-06-26,40.0
2020-06-27,11.0
2020-06-28,2.0
2020-06-29,47.0
2020-06-30,44.0
2020-07-01,29.0
2020-07-02,42.0
2020-07-03,28.0
2020-07-04,20.0
2020-07-05,3.0
2020-07-06,61.0
2020-07-07,50.0
2020-07-08,24.0
2020-07-09,41.0
2020-07-10,44.0
2020-07-11,16.0
2020-07-12,3.0
2020-07-13,51.0
2020-07-14,48.0
2020-07-15,30.0
2020-07-16,18.0
2020-07-17,33.0
2020-07-18,12.0
2020-07-19,4.0
2020-07-20,32.0
2020-07-21,40.0
2020-07-22,35.0
2020-07-23,37.0
2020-07-24,36.0
2020-07-25,9.0
2020-07-26,5.0
2020-07-27,32.0
2020-07-28,34.0
2020-07-29,21.0
2020-07-30,21.0
2020-07-31,7.0
2020-08-01,22.0
2020-08-02,5.0
2020-08-03,41.0
2020-08-04,46.0
2020-08-05,39.0
2020-08-06,28.0
2020-08-07,27.0
2020-08-08,35.0
2020-08-09,4.0
2020-08-10,60.0
2020-08-11,28.0
2020-08-12,32.0
2020-08-13,41.0
2020-08-14,27.0
2020-08-15,24.0
2020-08-16,4.0
2020-08-17,6.0
2020-08-18,32.0
2020-08-19,32.0
2020-08-20,14.0
2020-08-21,20.0
2020-08-22,13.0
2020-08-23,4.0
2020-08-24,52.0
2020-08-25,35.0
2020-08-26,37.0
2020-08-27,54.0
2020-08-28,14.0
2020-08-29,14.0
2020-08-30,2.0
2020-08-31,29.0
2020-09-01,48.0
2020-09-02,28.0
2020-09-03,38.0
2020-09-04,31.0
2020-09-05,18.0
2020-09-06,1.0
2020-09-07,38.0
2020-09-08,40.0
2020-09-09,26.0
2020-09-10,21.0
2020-09-11,24.0
2020-09-12,10.0
2020-09-13,1.0
2020-09-14,55.0
2020-09-15,35.0
2020-09-16,22.0
2020-09-17,40.0
2020-09-18,18.0
2020-09-19,14.0
2020-09-20,4.0
2020-09-21,45.0
2020-09-22,45.0
2020-09-23,21.0
2020-09-24,50.0
2020-09-25,19.0
2020-09-26,16.0
2020-09-27,3.0
2020-09-28,35.0
2020-09-29,32.0
2020-09-30,30.0
2020-10-01,51.0
2020-10-02,15.0
2020-10-03,18.0
2020-10-05,39.0
2020-10-06,28.0
2020-10-07,28.0
2020-10-08,34.0
2020-10-09,25.0
2020-10-10,21.0
2020-10-11,4.0
2020-10-12,59.0
2020-10-13,23.0
2020-10-14,22.0
2020-10-15,49.0
2020-10-16,24.0
2020-10-17,10.0
2020-10-18,1.0
2020-10-19,38.0
2020-10-20,30.0
2020-10-21,33.0
2020-10-22,30.0
2020-10-23,34.0
2020-10-24,19.0
2020-10-25,2.0
2020-10-26,54.0
2020-10-27,30.0
2020-10-28,21.0
2020-10-29,11.0
2020-10-30,6.0
2020-10-31,5.0
2020-11-01,2.0
2020-11-02,44.0
2020-11-03,44.0
2020-11-04,22.0
2020-11-05,39.0
2020-11-06,17.0
2020-11-07,15.0
2020-11-08,4.0
2020-11-09,41.0
2020-11-10,24.0
2020-11-11,23.0
2020-11-12,41.0
2020-11-13,24.0
2020-11-14,15.0
2020-11-15,4.0
2020-11-16,45.0
2020-11-17,19.0
2020-11-18,25.0
2020-11-19,40.0
2020-11-20,60.0
2020-11-21,13.0
2020-11-22,1.0
2020-11-23,38.0
2020-11-24,18.0
2020-11-25,35.0
2020-11-26,47.0
2020-11-27,25.0
2020-11-28,5.0
2020-11-29,2.0
2020-11-30,33.0
2020-12-01,27.0
2020-12-02,26.0
2020-12-03,26.0
2020-12-04,30.0
2020-12-05,11.0
2020-12-07,48.0
2020-12-08,30.0
2020-12-09,11.0
2020-12-10,33.0
2020-12-11,25.0
2020-12-12,9.0
2020-12-14,23.0
2020-12-15,17.0
2020-12-16,15.0
2020-12-17,27.0
2020-12-18,24.0
2020-12-19,2.0
2020-12-20,2.0
2020-12-21,24.0
2020-12-22,22.0
2020-12-23,26.0
2020-12-24,8.0
2020-12-25,10.0
2020-12-26,14.0
2020-12-27,3.0
2020-12-28,34.0
2020-12-29,13.0
2020-12-30,15.0
2020-12-31,8.0
2021-01-01,23.0
2021-01-02,17.0
2021-01-03,1.0
2021-01-04,58.0
2021-01-05,40.0
2021-01-06,28.0
2021-01-07,54.0
2021-01-08,47.0
2021-01-09,14.0
2021-01-10,4.0
2021-01-11,38.0
2021-01-12,52.0
2021-01-13,43.0
2021-01-14,50.0
2021-01-15,20.0
2021-01-16,23.0
2021-01-17,6.0
2021-01-18,48.0
2021-01-19,28.0
2021-01-20,40.0
2021-01-21,34.0
2021-01-22,24.0
2021-01-23,20.0
2021-01-25,43.0
2021-01-26,37.0
2021-01-27,30.0
2021-01-28,30.0
2021-01-29,33.0
2021-01-30,2.0
2021-02-01,57.0
2021-02-02,25.0
2021-02-03,25.0
2021-02-04,40.0
2021-02-05,14.0
2021-02-06,13.0
2021-02-07,2.0
2021-02-08,35.0
2021-02-09,25.0
2021-02-10,33.0
2021-02-11,35.0
2021-02-12,8.0
2021-02-13,16.0
2021-02-15,47.0
2021-02-16,29.0
2021-02-17,36.0
2021-02-18,65.0
2021-02-19,28.0
2021-02-20,9.0
2021-02-21,3.0
2021-02-22,50.0
2021-02-23,26.0
2021-02-24,34.0
2021-02-25,43.0
2021-02-26,26.0
2021-02-27,12.0
2021-02-28,2.0
2021-03-01,55.0
2021-03-02,32.0
2021-03-03,48.0
2021-03-04,45.0
2021-03-05,30.0
2021-03-06,14.0
2021-03-07,3.0
2021-03-08,40.0
2021-03-09,43.0
2021-03-10,53.0
2021-03-11,5.0
2021-03-12,25.0
2021-03-13,11.0
2021-03-15,60.0
2021-03-16,53.0
2021-03-17,39.0
2021-03-18,46.0
2021-03-19,29.0
2021-03-20,13.0
2021-03-21,3.0
2021-03-22,45.0
2021-03-23,40.0
2021-03-24,25.0
2021-03-25,32.0
2021-03-26,24.0
2021-03-27,8.0
2021-03-28,3.0
2021-03-29,55.0
2021-03-30,42.0
2021-03-31,19.0
2021-04-01,47.0
2021-04-02,10.0
2021-04-03,14.0
2021-04-04,7.0
2021-04-05,61.0
2021-04-06,32.0
2021-04-07,27.0
2021-04-08,52.0
2021-04-09,20.0
2021-04-10,22.0
2021-04-12,65.0
2021-04-13,38.0
2021-04-14,43.0
2021-04-15,43.0
2021-04-16,21.0
2021-04-17,21.0
2021-04-18,5.0
2021-04-19,61.0
2021-04-20,36.0
2021-04-21,32.0
2021-04-22,47.0
2021-04-23,28.0
2021-04-24,31.0
2021-04-25,4.0
2021-04-26,36.0
2021-04-27,34.0
2021-04-28,34.0
2021-04-29,51.0
2021-04-30,16.0
2021-05-01,5.0
2021-05-02,4.0
2021-05-03,40.0
2021-05-04,39.0
2021-05-05,46.0
2021-05-06,39.0
2021-05-07,27.0
2021-05-08,12.0
2021-05-09,4.0
2021-05-10,48.0
2021-05-11,40.0
2021-05-12,8.0
2021-05-13,13.0
2021-05-14,3.0
2021-05-15,2.0
2021-05-16,1.0
2021-05-17,46.0
2021-05-18,29.0
2021-05-19,38.0
2021-05-20,51.0
2021-05-21,33.0
2021-05-22,13.0
2021-05-23,3.0
2021-05-24,71.0
2021-05-25,38.0
2021-05-26,11.0
2021-05-27,64.0
2021-05-28,39.0
2021-05-29,15.0
2021-05-30,5.0
2021-05-31,52.0
2021-06-01,12.0
2021-06-02,53.0
2021-06-03,63.0
2021-06-04,44.0
2021-06-05,15.0
2021-06-06,13.0
2021-06-07,69.0
2021-06-08,51.0
2021-06-09,42.0
2021-06-10,62.0
2021-06-11,35.0
2021-06-12,16.0
2021-06-13,1.0
2021-06-14,47.0
2021-06-15,28.0
2021-06-16,22.0
2021-06-17,37.0
2021-06-18,27.0
2021-06-19,16.0
2021-06-20,2.0
2021-06-21,36.0
2021-06-22,26.0
2021-06-23,18.0
2021-06-24,26.0
2021-06-25,13.0
2021-06-26,7.0
2021-06-28,26.0
2021-06-29,15.0
2021-06-30,15.0
2021-07-01,39.0
2021-07-02,9.0
2021-07-03,8.0
2021-07-05,45.0
2021-07-06,21.0
2021-07-07,15.0
2021-07-08,30.0
2021-07-09,16.0
2021-07-10,2.0
2021-07-12,36.0
2021-07-13,28.0
2021-07-14,29.0
2021-07-15,28.0
2021-07-16,22.0
2021-07-17,9.0
2021-07-18,2.0
2021-07-19,21.0
2021-07-20,5.0
2021-07-21,20.0
2021-07-22,35.0
2021-07-23,13.0
2021-07-24,18.0
2021-07-25,3.0
2021-07-26,39.0
2021-07-27,18.0
2021-07-28,10.0
2021-07-29,26.0
2021-07-30,29.0
2021-07-31,5.0
2021-08-01,4.0
2021-08-02,39.0
2021-08-03,26.0
2021-08-04,18.0
2021-08-05,27.0
2021-08-06,23.0
2021-08-07,11.0
2021-08-08,3.0
2021-08-09,37.0
2021-08-10,23.0
2021-08-11,8.0
2021-08-12,35.0
2021-08-13,25.0
2021-08-14,13.0
2021-08-15,2.0
2021-08-16,45.0
2021-08-17,6.0
2021-08-18,40.0
2021-08-19,45.0
2021-08-20,37.0
2021-08-21,13.0
2021-08-22,6.0
2021-08-23,48.0
2021-08-24,44.0
2021-08-25,39.0
2021-08-26,31.0
2021-08-27,31.0
2021-08-28,21.0
2021-08-29,3.0
2021-08-30,64.0
2021-08-31,41.0
2021-09-01,25.0
2021-09-02,57.0
2021-09-03,33.0
2021-09-04,22.0
2021-09-05,1.0
2021-09-06,54.0
2021-09-07,49.0
2021-09-08,32.0
2021-09-09,60.0
2021-09-10,40.0
2021-09-11,18.0
2021-09-12,4.0
2021-09-13,53.0
2021-09-14,39.0
2021-09-15,43.0
2021-09-16,45.0
2021-09-17,46.0
2021-09-18,20.0
2021-09-19,1.0
2021-09-20,71.0
2021-09-21,54.0
2021-09-22,51.0
2021-09-23,54.0
2021-09-24,41.0
2021-09-25,20.0
2021-09-26,5.0
2021-09-27,74.0
2021-09-28,44.0
2021-09-29,36.0
2021-09-30,83.0
2021-10-01,53.0
2021-10-02,22.0
2021-10-03,6.0
2021-10-04,75.0
2021-10-05,45.0
2021-10-06,55.0
2021-10-07,51.0
2021-10-08,28.0
2021-10-09,36.0
2021-10-10,10.0
2021-10-11,61.0
2021-10-12,56.0
2021-10-13,42.0
2021-10-14,61.0
2021-10-15,50.0
2021-10-16,31.0
2021-10-17,9.0
2021-10-18,79.0
2021-10-19,64.0
2021-10-20,13.0
2021-10-21,78.0
2021-10-22,47.0
2021-10-23,39.0
2021-10-24,7.0
2021-10-25,83.0
2021-10-26,57.0
2021-10-27,44.0
2021-10-28,79.0
2021-10-29,58.0
2021-10-30,19.0
2021-11-01,93.0
2021-11-02,58.0
2021-11-03,52.0
2021-11-04,74.0
2021-11-05,47.0
2021-11-06,42.0
2021-11-07,3.0
2021-11-08,87.0
2021-11-09,75.0
2021-11-10,52.0
2021-11-11,84.0
2021-11-12,57.0
2021-11-13,25.0
2021-11-14,7.0
2021-11-15,84.0
2021-11-16,75.0
2021-11-17,122.0
2021-11-18,150.0
2021-11-19,113.0
2021-11-20,119.0
2021-11-21,7.0
2021-11-22,172.0
2021-11-23,117.0
2021-11-24,75.0
2021-11-25,122.0
2021-11-26,88.0
2021-11-27,66.0
2021-11-28,11.0
2021-11-29,102.0
2021-11-30,136.0
2021-12-01,61.0
2021-12-02,58.0
2021-12-03,97.0
2021-12-04,33.0
2021-12-05,15.0
2021-12-06,77.0
2021-12-07,66.0
2021-12-08,66.0
2021-12-09,55.0
2021-12-10,49.0
2021-12-11,41.0
2021-12-12,14.0
2021-12-13,91.0
2021-12-14,59.0
2021-12-15,74.0
2021-12-16,68.0
2021-12-17,78.0
2021-12-18,28.0
2021-12-19,5.0
2021-12-20,67.0
2021-12-21,73.0
2021-12-22,80.0
2021-12-23,85.0
2021-12-24,63.0
2021-12-25,20.0
2021-12-26,4.0
2021-12-27,67.0
2021-12-28,56.0
2021-12-29,74.0
2021-12-30,56.0
2021-12-31,40.0
